,ingredient,VV,
1159,35,26,61
1160,14,13,27
1161,10,28,38
1162,11,16,27
1163,19,23,42
1164,11,8,19
1165,9,5,14
1166,10,4,14
1167,18,12,30
1168,15,12,27
1169,18,9,27
1170,11,14,25
1171,16,8,24
1172,12,8,20
1173,7,12,19
1174,7,6,13
1175,8,7,15
1176,8,10,18
1177,12,10,22
1178,10,8,18
1179,25,9,34
1180,11,7,18
1181,7,12,19
1182,8,4,12
1183,10,7,17
1184,11,6,17
1185,10,5,15
1186,9,6,15
1187,19,8,27
1188,16,8,24
1189,16,6,22
1190,8,7,15
1191,14,9,23
1192,12,8,20
1193,24,18,42
1194,8,6,14
1195,12,4,16
1196,16,13,29
1197,9,9,18
1198,14,9,23
1199,11,11,22
1200,7,7,14
1201,12,7,19
1202,14,9,23
1203,10,9,19
1204,6,9,15
1205,6,8,14
1206,12,11,23
1207,14,4,18
1208,19,5,24
1209,15,10,25
1210,18,6,24
1211,9,6,15
1212,12,5,17
1213,8,4,12
1214,19,12,31
1215,6,7,13
1216,14,9,23
1217,9,8,17
1218,15,10,25
1219,9,7,16
1220,10,9,19
1221,14,5,19
1222,8,5,13
1223,7,7,14
1224,10,8,18
1225,11,9,20
1226,11,8,19
1227,9,8,17
1228,12,10,22
1229,13,8,21
1230,9,14,23
1231,11,9,20
1232,20,13,33
1233,11,14,25
1234,12,11,23
1235,9,5,14
1236,9,14,23
1237,11,21,32
1238,8,13,21
1239,11,15,26
1240,10,19,29
1241,11,17,28
1242,7,6,13
1243,6,13,19
1244,9,30,39
1245,10,12,22
1246,6,8,14
1247,24,20,44
1248,16,16,32
1249,11,12,23
1250,16,10,26
1251,17,2,19
1252,11,8,19
1253,8,3,11
1254,15,20,35
1255,13,12,25
1256,17,19,36
1257,15,20,35
1258,17,36,53
1259,10,8,18
1260,11,11,22
1261,11,15,26
1262,16,10,26
1263,15,11,26
1264,11,12,23
1265,13,13,26
1266,17,7,24
1267,12,6,18
1268,13,12,25
1269,13,14,27
1270,7,15,22
1271,10,19,29
